rank,player,lb_mmr,current_mmr,avg_place,games
288,ecaflop,10799,10799,3.88339222614841,566
289,babarpower,10788,10710,4.0322195704057275,419
290,pheed,10786,10786,4.0272108843537415,294
291,atze,10784,10784,4.158250355618777,1406
292,lordoffiery,10778,10778,4.078220858895706,326
293,gigardu,10766,10766,3.422222222222222,90
294,koudcrane,10756,10756,3.957894736842105,285
295,hoki_2,10755,10755,3.965367965367965,462
296,frodopollon,10750,10750,3.6675824175824174,182
297,quilboarttv,10747,10747,3.3398058252427183,103
298,fuzzy,10746,10746,3.980392156862745,561
299,haiiko,10740,10740,3.8408071748878925,223
300,wisnipe,10737,10737,3.930357142857143,280
